commit_hash,package_name,raw_fetcher_count,direct_fetcher_count,fetcher_types,nixpkgs_target_bump
9df2dc28d73c083ba79045af30809cd595b56db8,e-search,6,5,"fetchzip,fetchurl,fetchurl,fetchurl,fetchFromGitHub,fetchDeps",8b5c9dd8856f0c0cf46cc91f2c21c106a9d42e25
e93b153b7d2cf7c4dfa64209369fdf3705d72a73,pydo,1,1,fetchFromGitHub,8b5c9dd8856f0c0cf46cc91f2c21c106a9d42e25
5aabe811772127c7f8bcfa096dde84821777a3cd,cruise,1,1,fetchFromGitHub,d7f52a7a640bc54c7bb414cca603835bf8dd4b10
21bd89d4052d0abaa90b20923f3f777b990ff736,librespot-ma,1,1,fetchFromGitHub,647e5c14cbd5067f44ac86b74f014962df460840
aaf94dac7257b0ba852ff9172934707a13922b14,calceph,1,1,fetchFromGitLab,4c202d26483c5ccf3cb95e0053163facde9f047e
6c3c3951fb76343e5f8589db3ab0f82cea1d8f30,synchronizer,1,1,fetchFromGitHub,dc704e6102e76aad573f63b74c742cd96f8f1e6c
8d665b5b7aa29cd7a0235e9b129529a4090bd3d3,pluginval,1,1,fetchFromGitHub,6d7ec06d6868ac6d94c371458fc2391ded9ff13d
d20cfa8f5f4bfd576c6da5fca8b2b0c3ec4cb454,ctagdrc,1,1,fetchFromGitHub,88cef159e47c0dc56f151593e044453a39a6e547
a3542b9d27a6d0d26425fe878a7c9b9656c06334,samira,2,1,"fetchFromGitHub,fetchNpmDeps",d7f52a7a640bc54c7bb414cca603835bf8dd4b10
a0bf33115e5b7044bb93a48ece2b404b4e42ccb0,lacy,1,1,fetchFromGitHub,ca77296380960cd497a765102eeb1356eb80fed0
39dafd799f38996f47927399c22e6be67ba1c3b5,moxnotify,1,1,fetchFromGitHub,27ac93958969b5f3dccd654b402599cf3de633ac
dad647d699081d36f19f1cca840b4428ebb9bccd,hygg,1,1,fetchFromGitHub,d7f52a7a640bc54c7bb414cca603835bf8dd4b10
372b1b3f23c9c522c22a7d890982c7d1020f945e,rendercanvas,1,1,fetchFromGitHub,0832d1b3a08fe4c695507a075d547ebfa818dfa0
bff87305ed7f15a6246df44e2c37fce4c5c1396c,changelogen,2,1,"fetchFromGitHub,fetchDeps",d7f52a7a640bc54c7bb414cca603835bf8dd4b10
2b2f2574bf3601e8b4ab54e43ccadc048473abd3,terraform-backend,1,1,fetchFromGitHub,ee4cd98afba682ca27242f2d7fdbd8583f6ef51a
40d65767fab9bd171a7af8ab605c19f563a33736,ticketbooth,1,1,fetchFromGitHub,dc704e6102e76aad573f63b74c742cd96f8f1e6c
fcb4e4480c548aaf5f3d775feea50840e549b4ea,pytest-pycodestyle,1,1,fetchFromGitHub,53614373268559d054c080d070cfc732dbe68ac4
74728b8b4ef8a902827a61ee7d821aa41588368d,ovhcloud-cli,1,1,fetchFromGitHub,dc704e6102e76aad573f63b74c742cd96f8f1e6c
eb6d0c29a2dddf3a596c9d112b2436b5cc9fab45,ripplerx,1,1,fetchFromGitHub,6d7ec06d6868ac6d94c371458fc2391ded9ff13d
a7d95643693b71373a3c82a81b85a6d9360f441f,gonzo,1,1,fetchFromGitHub,0987f8f26d7b889e23a7c533ae6d998b27924899
45531d9caac4643208d666da229652fea130d1b7,petsctools,1,1,fetchFromGitHub,dc704e6102e76aad573f63b74c742cd96f8f1e6c
983ae777414d3cbd8ebb08cb8227c8c30747cb9d,redland-wayland,1,1,fetchFromGitHub,9547cfd27b5158eb612a6812dfc5c7b3d118b996
1ab76fda977e6dea36f6b5cc92670b28c5b3eb53,cachet,1,1,fetchurl,dc704e6102e76aad573f63b74c742cd96f8f1e6c
85172a306bff0e13b619f0ee759ddcfc01de1c31,mdserve,1,1,fetchFromGitHub,647e5c14cbd5067f44ac86b74f014962df460840
e59957e003215b7e2cfeeb31692b52eafd2575cd,linyaps-web-store-installer,1,1,fetchFromGitHub,dc704e6102e76aad573f63b74c742cd96f8f1e6c
a0ba392b048a3b346c144c0a58d0e691ab9ee5e5,bulletty,1,1,fetchFromGitHub,dc704e6102e76aad573f63b74c742cd96f8f1e6c
35e9a405b18599d6601c60293a6f1053dcfca974,mbmd,1,1,fetchFromGitHub,ee4cd98afba682ca27242f2d7fdbd8583f6ef51a
c821dc3bc6ab812b2d0fd1745cb4ba7282ad1b6f,sigstore-models,1,1,fetchFromGitHub,9547cfd27b5158eb612a6812dfc5c7b3d118b996
02720349e3a57029e0baff510f5a5b44a9a8313d,color-matcher,1,1,fetchPypi,ab6de70223e1d4c475e0dbac6aaa37fbfdf4d08c
b8f1d99ca276591e469301b2b7fda2acaf0c43c6,tree-sitter-zeek,1,1,fetchFromGitHub,ee4cd98afba682ca27242f2d7fdbd8583f6ef51a
73fb7196bad64aa9ac9f5879f0626fba271af7ae,cosmic-ext-applet-caffeine,1,1,fetchFromGitHub,ca77296380960cd497a765102eeb1356eb80fed0
7e310754cedad9054669ab8fa9d8ab6c58e2eee7,openspeedrun,1,1,fetchFromGitHub,ee4cd98afba682ca27242f2d7fdbd8583f6ef51a
126480b1b080fa9f8667594820b9dd63a8238ffd,elementary-maps,1,1,fetchFromGitHub,647e5c14cbd5067f44ac86b74f014962df460840
6e0d51b96438921ceda97eba8f7a9c428c7931d2,claude-code-acp,1,1,fetchFromGitHub,647e5c14cbd5067f44ac86b74f014962df460840
